"word","count","topic","color"
"cost benefit analysis",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",12,"Protection and Preparedness","#FB9A99"
"fix and forget",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",8,"Perception and Personal Judgment","#33A02C"
"saves money",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"freeboard added",7,"Data Interpretation and Understanding","#B2DF8A"
"based on average",6,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",6,"Protection and Preparedness","#FB9A99"
"to be prepared and protect",6,"Protection and Preparedness","#FB9A99"
"low maintenance",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",3,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",3,"Perception and Personal Judgment","#33A02C"
"?",2,"No Reason","#E31A1C"
"amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 4 events",2,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",2,"Perception and Personal Judgment","#33A02C"
"best level of protection",2,"Protection and Preparedness","#FB9A99"
"no comment",2,"No Reason","#E31A1C"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",1,"Perception and Personal Judgment","#33A02C"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"I don't know",1,"No Reason","#E31A1C"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",1,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
