"word","count","topic","color"
"to be prepared and protect",29,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",15,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",12,"Protection and Preparedness","#FB9A99"
"I don't know",9,"No Reason","#E31A1C"
"protection of home and family",8,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",7,"Perception and Personal Judgment","#33A02C"
"?",6,"No Reason","#E31A1C"
"confusion about personal home",6,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"feels right",5,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",4,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"good investment",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",3,"No Reason","#E31A1C"
"cost effective",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
