"word","count","topic","color"
"increase in rainfall",78,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",61,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",48,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",33,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",33,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",27,"Protection and Preparedness","#FB9A99"
"I don't know",19,"No Reason","#E31A1C"
"confusion about personal home",18,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",17,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",17,"Perception and Personal Judgment","#33A02C"
"amount of rain",15,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",13,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",10,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",10,"Perception and Personal Judgment","#33A02C"
"protection of home and family",10,"Protection and Preparedness","#FB9A99"
"no comment",9,"No Reason","#E31A1C"
"based on average",8,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",6,"No Reason","#E31A1C"
"not needed",6,"Protection and Preparedness","#FB9A99"
"saves money",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",6,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",3,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",2,"Perception and Personal Judgment","#33A02C"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
