"word","count","topic","color"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",3,"Perception and Personal Judgment","#33A02C"
"long lasting",3,"Protection and Preparedness","#FB9A99"
"based on 2 events",2,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"increase in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",2,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",2,"Protection and Preparedness","#FB9A99"
"?",1,"No Reason","#E31A1C"
"amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"fix and forget",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"freeboard added",1,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
