"word","count","topic","color"
"cost effective",117,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",112,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",64,"Protection and Preparedness","#FB9A99"
"feels right",58,"Perception and Personal Judgment","#33A02C"
"I don't know",56,"No Reason","#E31A1C"
"increase in rainfall",55,"Rainfall and Flood Risk Assessment","#1F78B4"
"long lasting",55,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",49,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",47,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",43,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",37,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",35,"No Reason","#E31A1C"
"based on the graph",31,"Data Interpretation and Understanding","#B2DF8A"
"based on average",24,"Data Interpretation and Understanding","#B2DF8A"
"no comment",24,"No Reason","#E31A1C"
"amount of rain",22,"Rainfall and Flood Risk Assessment","#1F78B4"
"low maintenance",20,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",20,"Protection and Preparedness","#FB9A99"
"best level of protection",18,"Protection and Preparedness","#FB9A99"
"protection of home and family",18,"Protection and Preparedness","#FB9A99"
"based on 2 events",17,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",17,"Perception and Personal Judgment","#33A02C"
"freeboard added",17,"Data Interpretation and Understanding","#B2DF8A"
"avoid damage and its costs",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 4 events",15,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",14,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",13,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",13,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",11,"Perception and Personal Judgment","#33A02C"
"not needed",9,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",8,"Protection and Preparedness","#FB9A99"
"more information wanted",7,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",6,"Perception and Personal Judgment","#33A02C"
"environmental impact",6,"Perception and Personal Judgment","#33A02C"
"the description",6,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"acceptable damage costs",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",3,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the hindcast",2,"Data Interpretation and Understanding","#B2DF8A"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
