"word","count","topic","color"
"logical choice",97,"Perception and Personal Judgment","#33A02C"
"cost effective",96,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",52,"Protection and Preparedness","#FB9A99"
"increase in rainfall",45,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",44,"Perception and Personal Judgment","#33A02C"
"I don't know",44,"No Reason","#E31A1C"
"long lasting",41,"Protection and Preparedness","#FB9A99"
"saves money",38,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",33,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",32,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",31,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",26,"No Reason","#E31A1C"
"based on the graph",26,"Data Interpretation and Understanding","#B2DF8A"
"no comment",20,"No Reason","#E31A1C"
"based on average",18,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",16,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best level of protection",15,"Protection and Preparedness","#FB9A99"
"erosion control",15,"Perception and Personal Judgment","#33A02C"
"based on 2 events",14,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",13,"Protection and Preparedness","#FB9A99"
"safe than sorry",13,"Protection and Preparedness","#FB9A99"
"confusion about personal home",12,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",11,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",11,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",10,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",9,"Perception and Personal Judgment","#33A02C"
"based on emissions scenario(s)/ projections",9,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",7,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",6,"Perception and Personal Judgment","#33A02C"
"more information wanted",6,"Data Interpretation and Understanding","#B2DF8A"
"it is only rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"watch and decide later",5,"Protection and Preparedness","#FB9A99"
"change in rainfall",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"acceptable damage costs",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",3,"Perception and Personal Judgment","#33A02C"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",3,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
