"word","count","topic","color"
"cost effective",90,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",84,"Perception and Personal Judgment","#33A02C"
"saves money",43,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",41,"Protection and Preparedness","#FB9A99"
"feels right",40,"Perception and Personal Judgment","#33A02C"
"increase in rainfall",39,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",38,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",37,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",34,"Protection and Preparedness","#FB9A99"
"I don't know",33,"No Reason","#E31A1C"
"best economic choice",29,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",26,"No Reason","#E31A1C"
"based on the graph",23,"Data Interpretation and Understanding","#B2DF8A"
"based on average",21,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",16,"Protection and Preparedness","#FB9A99"
"no comment",15,"No Reason","#E31A1C"
"best level of protection",14,"Protection and Preparedness","#FB9A99"
"amount of rain",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 2 events",13,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",13,"Perception and Personal Judgment","#33A02C"
"avoid damage and its costs",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"freeboard added",12,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",11,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",10,"Perception and Personal Judgment","#33A02C"
"protection of home and family",10,"Protection and Preparedness","#FB9A99"
"confusion about personal home",8,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",8,"Data Interpretation and Understanding","#B2DF8A"
"not needed",8,"Protection and Preparedness","#FB9A99"
"based on emissions scenario(s)/ projections",7,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",6,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on prior experience",5,"Perception and Personal Judgment","#33A02C"
"high amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",5,"Data Interpretation and Understanding","#B2DF8A"
"risk of flood(s)",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",4,"Perception and Personal Judgment","#33A02C"
"it is only rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",4,"Data Interpretation and Understanding","#B2DF8A"
"acceptable damage costs",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the hindcast",2,"Data Interpretation and Understanding","#B2DF8A"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
