"word","count","topic","color"
"feels right",11,"Perception and Personal Judgment","#33A02C"
"I don't know",11,"No Reason","#E31A1C"
"?",7,"No Reason","#E31A1C"
"cost effective",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",7,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",6,"Protection and Preparedness","#FB9A99"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",4,"Protection and Preparedness","#FB9A99"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",2,"Data Interpretation and Understanding","#B2DF8A"
"fix and forget",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"long lasting",2,"Protection and Preparedness","#FB9A99"
"low maintenance",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",2,"No Reason","#E31A1C"
"not needed",2,"Protection and Preparedness","#FB9A99"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best level of protection",1,"Protection and Preparedness","#FB9A99"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"erosion control",1,"Perception and Personal Judgment","#33A02C"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
