"word","count","topic","color"
"logical choice",32,"Perception and Personal Judgment","#33A02C"
"cost effective",26,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",24,"Protection and Preparedness","#FB9A99"
"I don't know",22,"No Reason","#E31A1C"
"feels right",20,"Perception and Personal Judgment","#33A02C"
"increase in rainfall",18,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",15,"No Reason","#E31A1C"
"based on the graph",14,"Data Interpretation and Understanding","#B2DF8A"
"saves money",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",13,"Protection and Preparedness","#FB9A99"
"best economic choice",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",10,"No Reason","#E31A1C"
"based on average",7,"Data Interpretation and Understanding","#B2DF8A"
"fix and forget",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",6,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",6,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",6,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",6,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",6,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",6,"Protection and Preparedness","#FB9A99"
"amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",5,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",5,"Protection and Preparedness","#FB9A99"
"environmental impact",5,"Perception and Personal Judgment","#33A02C"
"erosion control",5,"Perception and Personal Judgment","#33A02C"
"low maintenance",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",5,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",5,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",1,"Protection and Preparedness","#FB9A99"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
