"word","count","topic","color"
"logical choice",16,"Perception and Personal Judgment","#33A02C"
"cost effective",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",10,"Protection and Preparedness","#FB9A99"
"fix and forget",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",8,"No Reason","#E31A1C"
"cost benefit analysis",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",7,"Perception and Personal Judgment","#33A02C"
"long lasting",7,"Protection and Preparedness","#FB9A99"
"best level of protection",6,"Protection and Preparedness","#FB9A99"
"increase in rainfall",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",3,"No Reason","#E31A1C"
"based on average",3,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"based on 2 events",2,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",2,"Perception and Personal Judgment","#33A02C"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",2,"Protection and Preparedness","#FB9A99"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"erosion control",1,"Perception and Personal Judgment","#33A02C"
"freeboard added",1,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",1,"No Reason","#E31A1C"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
