"word","count","topic","color"
"cost effective",46,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",45,"Perception and Personal Judgment","#33A02C"
"I don't know",29,"No Reason","#E31A1C"
"long lasting",27,"Protection and Preparedness","#FB9A99"
"feels right",26,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",26,"Protection and Preparedness","#FB9A99"
"fix and forget",22,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",19,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",17,"Rainfall and Flood Risk Assessment","#1F78B4"
"best economic choice",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",14,"No Reason","#E31A1C"
"based on the graph",14,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",11,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"erosion control",11,"Perception and Personal Judgment","#33A02C"
"no comment",10,"No Reason","#E31A1C"
"avoid damage and its costs",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",8,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",8,"Protection and Preparedness","#FB9A99"
"advantages it offers",7,"Perception and Personal Judgment","#33A02C"
"best level of protection",6,"Protection and Preparedness","#FB9A99"
"confusion about personal home",6,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",6,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",6,"Protection and Preparedness","#FB9A99"
"based on 2 events",5,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",5,"Data Interpretation and Understanding","#B2DF8A"
"not needed",4,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",4,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 4 events",3,"Data Interpretation and Understanding","#B2DF8A"
"increase property value",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low maintenance",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"acceptable damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",2,"Perception and Personal Judgment","#33A02C"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
