"word","count","topic","color"
"I don't know",7,"No Reason","#E31A1C"
"logical choice",7,"Perception and Personal Judgment","#33A02C"
"saves money",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",4,"No Reason","#E31A1C"
"feels right",4,"Perception and Personal Judgment","#33A02C"
"fix and forget",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",2,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best level of protection",2,"Protection and Preparedness","#FB9A99"
"long lasting",2,"Protection and Preparedness","#FB9A99"
"low maintenance",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",1,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"erosion control",1,"Perception and Personal Judgment","#33A02C"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"no comment",1,"No Reason","#E31A1C"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"to be prepared and protect",1,"Protection and Preparedness","#FB9A99"
